,initial run,soil run,Diff,ratio,cat
0,105.3,105.3,0.0,1.0,1
1,113.292,113.292,0.0,1.0,1
2,146.73,146.73,0.0,1.0,1
3,85.35799999999998,85.35799999999998,0.0,1.0,0
4,218.633,218.633,0.0,1.0,2
5,227.763,227.763,0.0,1.0,2
6,44.385,44.385,0.0,1.0,0
7,51.118,51.118,0.0,1.0,0
8,183.466,183.466,0.0,1.0,1
9,213.643,213.643,0.0,1.0,2
10,164.655,164.655,0.0,1.0,1
11,187.091,187.091,0.0,1.0,1
12,115.203,115.203,0.0,1.0,1
13,212.306,212.306,0.0,1.0,2
14,228.074,228.074,0.0,1.0,2
15,127.356,127.356,0.0,1.0,1
16,299.125,299.125,0.0,1.0,2
17,279.866,279.866,0.0,1.0,2
18,159.30100000000004,159.30100000000004,0.0,1.0,1
19,119.464,119.464,0.0,1.0,1
20,322.182,322.182,0.0,1.0,2
21,213.604,213.604,0.0,1.0,2
22,408.306,408.306,0.0,1.0,2
23,124.599,124.599,0.0,1.0,1
24,166.308,166.308,0.0,1.0,1
25,177.253,177.253,0.0,1.0,1
26,92.711,92.711,0.0,1.0,0
27,194.474,194.474,0.0,1.0,1
28,213.759,213.759,0.0,1.0,2
29,281.961,281.961,0.0,1.0,2
30,150.045,150.045,0.0,1.0,1
31,289.188,289.188,0.0,1.0,2
32,125.138,125.138,0.0,1.0,1
33,656.919,656.919,0.0,1.0,2
34,269.22900000000004,269.22900000000004,0.0,1.0,2
35,215.368,215.368,0.0,1.0,2
36,125.952,125.952,0.0,1.0,1
37,248.933,248.933,0.0,1.0,2
38,306.8520000000001,306.8520000000001,0.0,1.0,2
39,109.47,109.47,0.0,1.0,1
40,385.133,385.133,0.0,1.0,2
41,114.239,114.239,0.0,1.0,1
42,211.284,211.284,0.0,1.0,2
43,303.339,303.339,0.0,1.0,2
44,313.6020000000001,313.6020000000001,0.0,1.0,2
45,424.918,424.918,0.0,1.0,2
46,399.545,399.545,0.0,1.0,2
47,121.495,121.495,0.0,1.0,1
48,123.586,123.586,0.0,1.0,1
49,214.758,214.758,0.0,1.0,2
50,678.209,678.209,0.0,1.0,2
51,71.42399999999998,71.42399999999998,0.0,1.0,0
52,50.662,50.662,0.0,1.0,0
53,417.117,417.117,0.0,1.0,2
54,59.154,59.154,0.0,1.0,0
55,237.535,237.535,0.0,1.0,2
56,544.867,544.867,0.0,1.0,2
57,134.654,134.654,0.0,1.0,1
58,115.642,115.642,0.0,1.0,1
59,126.437,126.437,0.0,1.0,1
60,136.66,136.66,0.0,1.0,1
61,976.085,976.085,0.0,1.0,2
62,235.373,235.373,0.0,1.0,2
63,1718.2720000000004,1718.2720000000004,0.0,1.0,3
64,128.91299999999998,128.91299999999998,0.0,1.0,1
65,170.67,170.67,0.0,1.0,1
66,175.018,175.018,0.0,1.0,1
67,278.963,278.963,0.0,1.0,2
68,461.708,461.708,0.0,1.0,2
69,94.935,94.935,0.0,1.0,0
70,126.237,126.237,0.0,1.0,1
71,190.301,190.301,0.0,1.0,1
72,64.491,64.491,0.0,1.0,0
73,120.448,120.448,0.0,1.0,1
74,65.183,65.183,0.0,1.0,0
75,103.398,103.398,0.0,1.0,1
76,152.389,152.389,0.0,1.0,1
77,211.635,211.635,0.0,1.0,2
78,122.601,122.601,0.0,1.0,1
79,58.565,58.565,0.0,1.0,0
80,104.304,104.325,-0.021000000000000796,0.9997987059669302,1
81,304.642,304.642,0.0,1.0,2
82,90.692,90.692,0.0,1.0,0
83,72.013,72.013,0.0,1.0,0
84,61.95,61.95,0.0,1.0,0
85,97.821,97.821,0.0,1.0,0
86,290.454,290.454,0.0,1.0,2
87,114.584,114.584,0.0,1.0,1
88,307.225,307.225,0.0,1.0,2
89,117.92,117.92,0.0,1.0,1
90,49.232,49.232,0.0,1.0,0
91,160.136,160.136,0.0,1.0,1
92,143.16899999999995,143.16899999999995,0.0,1.0,1
93,416.781,416.781,0.0,1.0,2
94,241.064,241.064,0.0,1.0,2
95,237.781,237.781,0.0,1.0,2
96,460.78,460.78,0.0,1.0,2
97,172.47400000000005,172.47400000000005,0.0,1.0,1
98,155.507,155.507,0.0,1.0,1
99,52.497,52.497,0.0,1.0,0
100,118.494,118.494,0.0,1.0,1
101,457.545,457.545,0.0,1.0,2
102,66.931,66.931,0.0,1.0,0
103,71.766,71.766,0.0,1.0,0
104,104.443,104.443,0.0,1.0,1
105,169.66,170.66400000000004,-1.0040000000000475,0.9941170955796181,1
106,129.131,129.131,0.0,1.0,1
107,153.296,153.296,0.0,1.0,1
108,80.455,80.455,0.0,1.0,0
109,92.535,92.535,0.0,1.0,0
110,146.024,146.024,0.0,1.0,1
111,168.35299999999995,177.576,-9.223000000000042,0.948061675001126,1
112,147.893,155.697,-7.804000000000002,0.9498770046950166,1
113,158.107,158.107,0.0,1.0,1
114,134.684,134.684,0.0,1.0,1
115,122.223,122.223,0.0,1.0,1
116,128.334,128.334,0.0,1.0,1
117,108.5,113.889,-5.388999999999996,0.9526819973834172,1
118,92.891,92.891,0.0,1.0,0
119,98.231,100.228,-1.9969999999999999,0.9800754280241051,0
120,79.468,79.468,0.0,1.0,0
121,202.629,210.482,-7.853000000000009,0.9626903963284271,2
122,260.556,260.556,0.0,1.0,2
123,130.52700000000002,136.312,-5.784999999999997,0.9575605962791244,1
124,166.857,166.857,0.0,1.0,1
125,203.983,203.983,0.0,1.0,2
126,69.32300000000001,69.32300000000001,0.0,1.0,0
127,62.487,62.487,0.0,1.0,0
128,216.41,216.41,0.0,1.0,2
129,126.133,126.133,0.0,1.0,1
130,62.135,62.135,0.0,1.0,0
131,155.761,155.761,0.0,1.0,1
132,452.61300000000006,469.772,-17.158999999999935,0.9634737702545065,2
133,74.41,74.41,0.0,1.0,0
134,63.135,63.135,0.0,1.0,0
135,479.936,499.1230000000001,-19.187000000000126,0.9615585737383368,2
136,84.98899999999998,84.98899999999998,0.0,1.0,0
137,118.829,118.829,0.0,1.0,1
138,114.293,118.1,-3.806999999999988,0.9677646062658765,1
139,111.708,119.642,-7.9339999999999975,0.9336854950602631,1
140,175.3,175.3,0.0,1.0,1
141,83.815,88.329,-4.513999999999996,0.9488956061995495,0
142,181.55900000000003,181.55900000000003,0.0,1.0,1
143,190.502,190.502,0.0,1.0,1
144,183.303,192.727,-9.424000000000007,0.9511018175969117,1
145,94.832,94.832,0.0,1.0,0
146,178.675,178.675,0.0,1.0,1
147,86.865,86.865,0.0,1.0,0
148,187.639,187.639,0.0,1.0,1
149,99.873,99.873,0.0,1.0,0
150,247.993,247.993,0.0,1.0,2
151,96.215,96.215,0.0,1.0,0
152,244.041,262.344,-18.302999999999997,0.9302328240783094,2
153,313.573,313.573,0.0,1.0,2
154,123.853,123.853,0.0,1.0,1
155,269.063,291.078,-22.014999999999986,0.9243673517064155,2
156,116.368,116.368,0.0,1.0,1
157,150.689,150.689,0.0,1.0,1
158,85.639,91.26,-5.621000000000009,0.9384067499452113,0
159,70.417,74.705,-4.287999999999997,0.9426008968609866,0
160,74.792,80.955,-6.162999999999997,0.923871286517201,0
161,87.406,87.406,0.0,1.0,0
162,374.967,401.136,-26.16900000000004,0.9347627737226276,2
163,199.165,199.165,0.0,1.0,1
164,236.825,236.825,0.0,1.0,2
165,101.34,101.34,0.0,1.0,1
166,70.72800000000002,72.516,-1.7879999999999825,0.9753433724971043,0
167,77.075,77.075,0.0,1.0,0
168,102.857,104.634,-1.777000000000001,0.9830169925645583,1
169,226.936,228.354,-1.4180000000000064,0.9937903430638394,2
170,77.95100000000002,84.932,-6.98099999999998,0.9178048321009751,0
171,176.58,176.58,0.0,1.0,1
172,73.155,73.155,0.0,1.0,0
173,95.07,95.07,0.0,1.0,0
174,74.767,81.156,-6.38900000000001,0.9212750751638817,0
175,164.079,164.079,0.0,1.0,1
176,202.663,202.663,0.0,1.0,2
177,56.87,60.066,-3.196000000000005,0.9467918622848199,0
178,269.302,269.302,0.0,1.0,2
179,63.71,64.157,-0.4469999999999956,0.9930327166170488,0
180,118.232,120.05,-1.8179999999999978,0.9848563098708871,1
181,120.846,120.846,0.0,1.0,1
182,120.331,120.331,0.0,1.0,1
183,86.244,86.244,0.0,1.0,0
184,170.265,180.771,-10.506,0.9418822709394759,1
185,60.63,63.815,-3.184999999999995,0.9500901042074748,0
186,205.367,217.0,-11.63300000000001,0.9463917050691244,2
187,247.178,264.059,-16.88100000000003,0.9360711053211592,2
188,88.584,88.584,0.0,1.0,0
189,72.702,73.78399999999998,-1.0819999999999794,0.985335574108208,0
190,103.509,103.509,0.0,1.0,1
191,102.326,102.326,0.0,1.0,1
192,93.219,93.219,0.0,1.0,0
193,185.651,185.651,0.0,1.0,1
194,152.474,152.474,0.0,1.0,1
195,145.275,155.275,-10.0,0.935598132345838,1
196,125.236,125.236,0.0,1.0,1
197,100.417,100.417,0.0,1.0,1
198,236.131,236.131,0.0,1.0,2
199,346.2580000000001,346.2580000000001,0.0,1.0,2
200,467.185,467.185,0.0,1.0,2
201,174.34,174.34,0.0,1.0,1
202,64.021,64.021,0.0,1.0,0
203,114.021,114.021,0.0,1.0,1
204,91.136,97.048,-5.912000000000006,0.9390816915340862,0
205,195.138,195.138,0.0,1.0,1
206,225.55,225.55,0.0,1.0,2
207,128.095,128.095,0.0,1.0,1
208,108.153,114.718,-6.564999999999998,0.9427727122160429,1
209,102.818,102.818,0.0,1.0,1
210,61.743,66.814,-5.070999999999991,0.9241027329601582,0
211,82.691,82.691,0.0,1.0,0
212,157.796,157.796,0.0,1.0,1
213,231.868,250.888,-19.02000000000001,0.9241892796785817,2
214,196.169,196.169,0.0,1.0,1
215,162.216,162.216,0.0,1.0,1
216,87.74799999999998,87.74799999999998,0.0,1.0,0
217,247.745,247.745,0.0,1.0,2
218,110.238,110.238,0.0,1.0,1
219,116.283,116.283,0.0,1.0,1
220,112.412,112.412,0.0,1.0,1
221,115.69,119.947,-4.257000000000005,0.9645093249518537,1
222,199.116,199.116,0.0,1.0,1
223,24.527,24.527,0.0,1.0,0
224,156.47899999999996,171.666,-15.18700000000004,0.9115316952687192,1
225,77.05199999999998,84.274,-7.222000000000023,0.9143033438545694,0
226,104.64,104.64,0.0,1.0,1
227,212.44,233.058,-20.617999999999995,0.9115327515039175,2
228,169.296,169.296,0.0,1.0,1
229,99.55,99.55,0.0,1.0,0
230,75.949,75.949,0.0,1.0,0
231,241.911,241.911,0.0,1.0,2
232,490.335,490.335,0.0,1.0,2
233,135.153,138.80700000000002,-3.654000000000025,0.9736756791804446,1
234,251.788,277.66200000000003,-25.874000000000024,0.9068147603921314,2
235,166.847,170.449,-3.602000000000004,0.9788675791585753,1
236,228.601,237.006,-8.405000000000001,0.9645367627823768,2
237,270.462,278.692,-8.230000000000018,0.970469191795961,2
238,363.194,383.38,-20.18599999999998,0.9473472794616308,2
239,476.702,481.801,-5.0989999999999895,0.9894167924101445,2
240,113.735,113.735,0.0,1.0,1
241,474.314,499.699,-25.38499999999999,0.9491994180496659,2
242,195.353,195.353,0.0,1.0,1
243,540.578,572.408,-31.83000000000004,0.9443928107224216,2
244,110.408,110.408,0.0,1.0,1
245,85.24,85.24,0.0,1.0,0
246,128.195,128.195,0.0,1.0,1
247,247.871,247.871,0.0,1.0,2
248,99.258,99.258,0.0,1.0,0
249,303.077,324.015,-20.937999999999988,0.9353795348980758,2
250,164.081,170.544,-6.463000000000022,0.9621036213528472,1
251,90.575,90.575,0.0,1.0,0
252,175.17700000000005,175.17700000000005,0.0,1.0,1
253,78.345,85.321,-6.975999999999999,0.9182381828623668,0
254,120.026,130.99,-10.964000000000013,0.9162989541186349,1
255,167.858,167.858,0.0,1.0,1
256,211.804,211.804,0.0,1.0,2
257,203.444,212.387,-8.943000000000012,0.9578929030496216,2
258,172.449,185.077,-12.627999999999986,0.931768939414406,1
259,65.956,65.956,0.0,1.0,0
260,137.401,137.401,0.0,1.0,1
261,132.321,143.386,-11.064999999999998,0.9228306808196058,1
262,49.548,49.548,0.0,1.0,0
263,97.227,97.227,0.0,1.0,0
264,132.36,132.36,0.0,1.0,1
265,152.265,166.15599999999995,-13.890999999999963,0.9163978429909244,1
266,57.37300000000001,57.37300000000001,0.0,1.0,0
267,111.431,111.431,0.0,1.0,1
268,106.516,106.516,0.0,1.0,1
269,108.375,115.864,-7.489000000000004,0.9353638748877995,1
270,225.084,243.762,-18.677999999999997,0.9233760799468334,2
271,187.192,195.848,-8.656000000000006,0.9558024590498754,1
272,364.096,364.096,0.0,1.0,2
273,106.357,110.446,-4.088999999999999,0.9629773826123174,1
274,180.908,180.908,0.0,1.0,1
275,111.397,119.114,-7.716999999999999,0.9352133250499521,1
276,265.686,265.686,0.0,1.0,2
277,68.056,68.056,0.0,1.0,0
278,71.057,71.057,0.0,1.0,0
279,97.196,97.196,0.0,1.0,0
280,68.188,68.188,0.0,1.0,0
281,160.534,171.407,-10.873000000000019,0.9365661845782259,1
282,178.491,193.166,-14.674999999999983,0.9240290734394252,1
283,109.457,109.457,0.0,1.0,1
284,260.98,260.98,0.0,1.0,2
285,426.324,426.324,0.0,1.0,2
286,102.592,109.351,-6.759,0.938189865661951,1
287,111.036,111.46,-0.4239999999999924,0.9961959447335368,1
288,77.452,79.064,-1.6119999999999948,0.9796114540119397,0
289,103.445,103.445,0.0,1.0,1
